번호,시도,시군구명,개방서비스명,개방서비스ID,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지지번주소,소재지도로명주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,경도,위도,위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총종업원수,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
67,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2019-00002,20190129,,01,영업/정상,01,영업,,,,,02  22765000,91.00,200937,강원도 춘천시 온의동 6-25번지 롯데마트 ,강원도 춘천시 방송길 84  롯데마트 1층 (온의동),24364,베이커리팩토리춘천점,20200609161158,U,2020-06-11 02:40:00.0,제과점영업,127.71729450484857,37.86586195719139,제과점영업,,,기타,,상수도전용,,,,,,,,,N,91.94,,,
68,강원도,인제군,제과점영업,07_22_18_P,4330000,4330000-121-2019-00001,20190220,,01,영업/정상,01,영업,,,,,033 463 6009,116.65,252806,강원도 인제군 인제읍 상동리 359-19번지,강원도 인제군 인제읍 비봉로 9-1,24635,파리바게트 인제점,20190319195229,U,2019-03-21 02:40:00.0,제과점영업,128.17205331441443,38.06558869929201,제과점영업,,,,,상수도전용,,,,,,,,,N,116.65,,,
69,강원도,강릉시,제과점영업,07_22_18_P,4200000,4200000-121-2019-00004,20190321,,03,폐업,02,폐업,20200528,,,,,80.30,210924,강원도 강릉시 교동 1817-3번지 ,강원도 강릉시 가작로 8-1  1층 (교동),25511,카페밀브레드,20200528092123,U,2020-05-30 02:40:00.0,제과점영업,128.87600111384484,37.76637395974096,제과점영업,,,,,,,,,,,,,,N,80.3,,,
70,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2019-00004,20190318,,01,영업/정상,01,영업,,,,,,39.76,200938,강원도 춘천시 온의동 541번지,강원도 춘천시 충혼길44번길 3  1층 (온의동),24437,모먼트1호점,20190318103322,I,2019-03-20 02:21:55.0,제과점영업,127.71976548894172,37.85795174937935,제과점영업,,,,,상수도전용,,,,,,,,,N,39.76,,,
71,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2019-00005,20190318,,01,영업/정상,01,영업,,,,,,74.08,200937,강원도 춘천시 온의동 130-11번지,강원도 춘천시 터미널길 8-2  1층 (온의동),24435,모먼트2호점,20190318103907,I,2019-03-20 02:21:55.0,제과점영업,127.7185199772816,37.862675789028884,제과점영업,,,,,상수도전용,,,,,,,,,N,74.08,,,
72,강원도,원주시,제과점영업,07_22_18_P,4190000,4190000-121-2019-00002,20190318,,01,영업/정상,01,영업,,,,,033 7488375,45.54,220952,강원도 원주시 우산동 108-1번지 1층,강원도 원주시 우산로 94  1층 (우산동),26341,앙떼떼베이커리,20191018133119,U,2019-10-20 02:40:00.0,제과점영업,127.93672838450149,37.36849439546761,제과점영업,,,기타,기타,상수도전용,,,,,,,,,N,45.54,,,
73,강원도,원주시,제과점영업,07_22_18_P,4190000,4190000-121-2019-00003,20190318,,01,영업/정상,01,영업,,,,,,53.76,220832,강원도 원주시 소초면 의관리 461-1번지 공군8비장병복합체육관 1층,강원도 원주시 소초면 북원로 3223  공군8비장병복합체육관 1층,26304,파리바게뜨원주공군비행단점,20190508210139,U,2019-05-10 02:40:00.0,제과점영업,127.9663884435101,37.4261809412679,제과점영업,,,기타,기타,상수도전용,,,,,,,,,N,53.76,,,
74,강원도,동해시,제과점영업,07_22_18_P,4210000,4210000-121-2019-00001,20190315,,03,폐업,02,폐업,20200904,,,,,77.69,240020,강원도 동해시 평릉동 318-1 현웅빌딩 ,강원도 동해시 평릉길 32  현웅빌딩 1층 105호 (평릉동),25749,자작나무숲베이커리앤카페,20200904160535,U,2020-09-06 02:40:00.0,제과점영업,129.1011847813619,37.5258698329352,제과점영업,,,,,상수도전용,,,,,,,,,N,77.69,,,
75,강원도,화천군,제과점영업,07_22_18_P,4310000,4310000-121-2019-00001,20190107,,01,영업/정상,01,영업,,,,,,33.31,209804,강원도 화천군 화천읍 하리 47-2 ,강원도 화천군 화천읍 중앙로 13-1  1층,24124,빵카페,20210114165800,U,2021-01-16 02:40:00.0,제과점영업,127.70796911271734,38.10396407602714,제과점영업,,,기타,,,,,,,,,,,N,30.53,,,
76,강원도,강릉시,제과점영업,07_22_18_P,4200000,4200000-121-2019-00002,20190213,,03,폐업,02,폐업,20200504,,,,,28.64,210954,강원도 강릉시 포남동 1105-2번지 ,강원도 강릉시 가작로 288  1층 (포남동),25487,바닐라즈(Vanillas),20200504152001,U,2020-05-06 02:40:00.0,제과점영업,128.9060562946523,37.76752622210046,제과점영업,,,,,,,,,,,,,,N,28.64,,,
77,강원도,춘천시,제과점영업,07_22_18_P,4180000,4180000-121-2019-00003,20190312,,01,영업/정상,01,영업,,,,,,74.34,200883,강원도 춘천시 동내면 거두리 1127-9번지,강원도 춘천시 동내면 거두택지길44번길 19-1  1층,24399,동내빵집,20190312111915,I,2019-03-14 02:21:50.0,제과점영업,127.75713121005548,37.85135141014225,제과점영업,,,,,상수도전용,,,,,,,,,N,74.34,,,
78,강원도,강릉시,제과점영업,07_22_18_P,4200000,4200000-121-2019-00003,20190313,,01,영업/정상,01,영업,,,,,,26.90,210954,강원도 강릉시 포남동 1105-1번지,강원도 강릉시 성덕포남로 216 (포남동),25487,스트리트 216(street 216),20190313112416,I,2019-03-15 02:21:51.0,제과점영업,128.90580686494445,37.76732103987925,제과점영업,,,,,,,,,,,,,,N,26.9,,,
79,강원도,원주시,제과점영업,07_22_18_P,4190000,4190000-121-2019-00001,20190311,,01,영업/정상,01,영업,,,,,,38.95,220937,강원도 원주시 단계동 801-14번지,강원도 원주시 무실로 164  1층 (단계동),26434,안녕빵집,20190423204244,U,2019-04-25 02:40:00.0,제과점영업,127.93965659196358,37.33885077242491,제과점영업,,,기타,기타,상수도전용,,,,,,,,,N,38.95,,,
80,강원도,홍천군,제과점영업,07_22_18_P,4250000,4250000-121-2020-00001,20200117,,01,영업/정상,01,영업,,,,,033 435 0085,39.00,250805,강원도 홍천군 홍천읍 신장대리 62-1번지,강원도 홍천군 홍천읍 홍천로 344,25139,GS수퍼 홍천점 직영베이커리,20200117150020,I,2020-01-19 00:23:25.0,제과점영업,127.88291669738831,37.68551547083739,제과점영업,,,,,상수도전용,,,,,,,,,N,39,,,
