업소명,도로명주소,주요음식,신청일자,지정일자,재지정일자
중화루,"강원도 춘천시 둥지길 5-17, 2,3층 (효자동)","탕수육, 자장면",2016-10-10,2016-11-28,2021-10-18
우미닭갈비본점,강원도 춘천시 금강로62번길 4 (조양동),닭갈비,2003-04-01,2003-06-30,
샘밭막국수,강원도 춘천시 신북읍 신샘밭로 644,막국수,2009-06-01,2009-06-01,2021-10-18
봉운장,강원도 춘천시 소양고개길 26 (소양로3가),"갈비,갈비탕",2003-04-01,2007-06-01,2021-10-18
이디오피아집(벳),"강원도 춘천시 이디오피아길 7, 2층 (근화동)",양식,2005-04-01,2007-06-01,2011-12-01
본관남부막국수,"강원도 춘천시 춘천로81번길 16, 1,2층 (약사동)","막국수,편육,빈대떡",2014-10-21,2014-12-09,2021-10-18
강촌막국수,강원도 춘천시 남산면 강촌로 62-1,"막국수,편육",2017-11-16,2017-12-06,2021-10-18
명동산골닭갈비,"강원도 춘천시 금강로62번길 7, 1,2층 (조양동)",닭갈비,2020-10-05,2020-11-02,2021-10-18
복천닭갈비,"강원도 춘천시 금강로62번길 10-1, 1,2층 (조양동)",닭갈비,2003-04-01,2003-06-30,2005-05-30
함지,강원도 춘천시 중앙로 101 (중앙로3가),양식,2003-04-01,2007-06-01,2021-10-18
디아펠리즈,"강원도 춘천시 춘천로 71, 지하1, 지상2~4층 (효자동)",뷔페,2017-11-09,2017-12-06,2021-10-18
별당막국수,"강원도 춘천시 춘천로81번길 15, 1층 (약사동)","막국수,편육",2003-04-01,2007-06-01,2021-10-18
함흥냉면옥,강원도 춘천시 시청길 16-1 (조양동),냉면,2003-04-01,2007-06-01,2017-12-06
명동명물닭갈비,"강원도 춘천시 금강로62번길 8, 1층 (조양동)",닭갈비,2003-04-01,2007-06-01,2021-10-18
부안막국수,강원도 춘천시 후석로344번길 7 (후평동),막국수,2003-04-01,2007-06-01,2021-10-18
나라앤미네,"강원도 춘천시 중앙로 41-3, 1층 (중앙로1가)",참치,2011-09-26,2011-12-01,2014-12-09
춘천닭갈비명동직영점,"강원도 춘천시 금강로62번길 13 (조양동, 2층)",닭갈비,2005-04-01,2007-06-01,2007-06-01
