시도,시군구명,사업장명,영업상태명,소재지전화,소재지주소,건물용도명
강원도,춘천시,소극장 연극바보들,영업/정상,,강원도 춘천시 서부대성로239번길 7 (효자동),근린생활시설
강원도,춘천시,춘천문화예술회관,영업/정상,033-250-3593,강원도 춘천시 효자상길5번길 13 (효자동),문화시설
강원도,춘천시,춘천인형극장,영업/정상,,"강원도 춘천시 영서로 3017, 춘천인형극장 (사농동)",문화시설
강원도,춘천시,백령아트센터,영업/정상,033-250-7201,강원도 춘천시 강원대학길 1  (효자동),문화시설
강원도,춘천시,봄내극장,영업/정상,033-243-4368,강원도 춘천시 서부대성로 71 (옥천동),
강원도,춘천시,축제극장 몸짓,영업/정상,033-730-0101,강원도 춘천시 춘천로 112 (효자동),문화시설
강원도,춘천시,소극장 여우,영업/정상,,강원도 춘천시 공지로 121-1 (석사동),근린생활시설
강원도,춘천시,소극장 존,영업/정상,033-261-7295,강원도 춘천시 세실로 267 (후평동),
강원도,춘천시,"Sound Hall(실내), Outside Stage(야외) 공연장",영업/정상,02-330-6200,강원도 춘천시 스포츠타운길399번길 25 (삼천동),문화시설
강원도,춘천시,아트팩토리 봄,영업/정상,033-253-7111,강원도 춘천시 신동면 풍류1길 34,
강원도,춘천시,Performance theater(퍼포먼스 시어터),영업/정상,033-815-2300,"강원도 춘천시 하중도길 128, Performance theater (중도동)",기타
강원도,원주시,치악예술관,영업/정상,033-737-4302,강원도 원주시 서원대로 331 (명륜동),
강원도,원주시,교실극장,영업/정상,033-732-0827,강원도 원주시 문막읍 비야동길 11 (후용초등학교),교육연구시설
강원도,원주시,드림아트홀,영업/정상,033-744-1237,"강원도 원주시 원일로 151, 지하 1층 (일산동)",
강원도,원주시,댄싱 공연장,영업/정상,033-737-4302,강원도 원주시 단구로 170 (명륜동),
강원도,원주시,백운아트홀,영업/정상,033-737-2467,강원도 원주시 시청로 1 (무실동),문화시설
강원도,원주시,소공연장 B도로,영업/정상,,강원도 원주시 중앙로 89 (중앙동),
강원도,원주시,어울림소극장,영업/정상,,강원도 원주시 중앙로 27 (인동),근린생활시설
강원도,원주시,나오라쇼 공연장,영업/정상,033-737-5109,강원도 원주시 지정면 소금산길 127,
강원도,원주시,유알컬처파크,영업/정상,033-748-1476,"강원도 원주시 지정면 지정로 912, 나무티엠주식회사 10동",근린생활시설
강원도,강릉시,명주예술마당,영업/정상,033-640-5226,"강원도 강릉시 경강로2021번길 9-1 (명주동, 명주예술마당)",교육연구시설
강원도,강릉시,강릉아트센터 대공연장 사임당홀,영업/정상,033-660-6806,"강원도 강릉시 종합운동장길 84, 강릉아트센터 (교동)",문화시설
강원도,강릉시,강릉아트센터 소공연장,영업/정상,033-660-6806,강원도 강릉시 종합운동장길 84 (교동),문화시설
강원도,강릉시,강릉단오제전수교육관,영업/정상,033-640-3941,강원도 강릉시 단오장길 1 (노암동),문화시설
강원도,강릉시,폰테피렌체,영업/정상,070-5003-6587,"강원도 강릉시 정원로 54 (교동, 주니어타운 8층)",근린생활시설
강원도,강릉시,작은공연장-단,영업/정상,033-640-4807,"강원도 강릉시 경강로2046번길 5 (명주동, 작은공연장-단)",
강원도,동해시,라이브스칼렛,영업/정상,,강원도 동해시 발한로 176 (발한동),
강원도,동해시,동해시문화예술회관,영업/정상,033-530-2043,강원도 동해시 평원로 15 (천곡동),문화시설
강원도,태백시,태백문화예술회관,영업/정상,033-550-2781,강원도 태백시 고원로 203 (황지동),
강원도,태백시,태백문화예술회관 소공연장,영업/정상,033-550-2781,강원도 태백시 고원로 203  (황지동),문화시설
강원도,속초시,속초문화예술회관,영업/정상,033-639-2082,강원도 속초시 번영로 155 (영랑동),문화시설
강원도,삼척시,삼척문화예술회관 대공연장,영업/정상,033-572-1331,강원도 삼척시 엑스포로 45 (성남동),
강원도,삼척시,삼척문화예술회관 소공연장,영업/정상,033-572-1331,강원도 삼척시 엑스포로 45 (성남동),
강원도,삼척시,호텔펠리스 스카이라운지,영업/정상,,강원도 삼척시 새천년도로 219 (정하동),호텔
강원도,홍천군,홍천문화예술회관,영업/정상,033-430-2423,강원도 홍천군 홍천읍 설악로 1792,문화시설
강원도,홍천군,홍천군문화센터,영업/정상,033-430-2426,강원도 홍천군 홍천읍 연봉중앙로 11-8,문화시설
강원도,횡성군,횡성문화예술회관,영업/정상,033-340-5950,강원도 횡성군 횡성읍 문예로 75,문화시설
강원도,횡성군,횡성문화원 발표회장,영업/정상,033-343-2271,"강원도 횡성군 횡성읍 앞들서3로 6, 1층",
강원도,영월군,영월군 문화예술회관,영업/정상,033-375-6353,강원도 영월군 영월읍 단종로 24 (문화예술회관),문화시설
강원도,평창군,평창문화예술회관,영업/정상,033-330-2546,강원도 평창군 평창읍 문화예술길 51 (문화예술회관),문화시설
강원도,평창군,알펜시아콘서트홀,영업/정상,033-339-0544,강원도 평창군 대관령면 솔봉로 325 (알펜시아콘서트홀),문화시설
강원도,평창군,대관령 야외공연장,영업/정상,033-339-3939,강원도 평창군 대관령면 솔봉로 325 (알펜시아리조트),문화시설
강원도,평창군,평창전통민속상설공연장,영업/정상,033-330-2171,강원도 평창군 용평면 갈정지길 7,문화시설
강원도,평창군,평창송어종합공연체험장,영업/정상,033-330-2746,"강원도 평창군 진부면 경강로 3554, 평창송어종합공연체험장 1동 2층",문화시설
강원도,정선군,정선군문화예술회관,영업/정상,033-560-2567,"강원도 정선군 정선읍 봉양3길 17, 정선군문화예술회관",문화시설
강원도,정선군,카사시네마,영업/정상,,강원도 정선군 사북읍 하이원길 265 (하이원리조트 3층),
강원도,정선군,아리랑센터,영업/정상,033-560-3010,강원도 정선군 정선읍 애산로 51,문화시설
강원도,철원군,화강문화센터 공연장,영업/정상,033-450-5519,강원도 철원군 서면 약수로 3,문화시설
강원도,화천군,화천문화예술회관,영업/정상,033-440-2573,강원도 화천군 화천읍 상승로 91,문화시설
강원도,화천군,문화공간 예술텃밭 텃밭극장,영업/정상,,강원도 화천군 화천읍 노신로 274,문화시설
강원도,화천군,문화공간 예술텃밭 바깥극장,영업/정상,,강원도 화천군 화천읍 노신로 274,문화시설
강원도,양구군,양구문예회관 공연장,영업/정상,033-480-7212,"강원도 양구군 양구읍 비봉로73번길 52-1, 양구문예회관",근린생활시설
강원도,양구군,양구문화복지센터 공연장,영업/정상,033-480-2241,강원도 양구군 양구읍 비봉로73번길 52 (양구문화복지센터),문화시설
강원도,인제군,인제하늘내린센터 대공연장,영업/정상,033-461-0373,강원도 인제군 인제읍 비봉로44번길 100,문화시설
강원도,고성군,고성군문화복지센터 대공연장,영업/정상,033-680-3366,강원도 고성군 거진읍 자산천로 240,문화시설
강원도,고성군,고성군문화복지센터 소공연장,영업/정상,033-680-3366,강원도 고성군 거진읍 자산천로 240,문화시설
강원도,고성군,고성문화의집,영업/정상,033-681-4146,강원도 고성군 간성읍 간성로 71-7,문화시설
강원도,양양군,문화복지회관 대공연장,영업/정상,033-670-2348,강원도 양양군 양양읍 일출로 540,
