번호,시도,시군구명,개방서비스명,개방서비스ID,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지지번주소,소재지도로명주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,경도,위도,의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자
2390,강원도,춘천시,의원,01_01_02_P,4180000,PHMA120204180029041100006,20200330,,1,영업/정상,13,영업중,,,,,033-252-1080,,,강원도 춘천시 온의동 587번지,강원도 춘천시 춘천로17번길 37  4층 (온의동),24364,비앤비이승준안과의원,2.02004E+13,U,40:00.0,의원,127.7172724,37.8649278,,,,,,,,,,,,,,,,
2391,강원도,횡성군,의원,01_01_02_P,4260000,PHMA120204260015041100001,20200331,,3,폐업,3,폐업,20200901,,,,033-342-7712,,,강원도 횡성군 우천면 우항리 636번지 2호,강원도 횡성군 우천면 수남로 338,25248,우천의원,2.02009E+13,U,40:00.0,의원,128.0627334,37.45741286,,,,,,,,,,,,,,,,
2392,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100011,20200408,,1,영업/정상,13,영업중,,,,,033-733-8600,,,강원도 원주시 행구동 1710번지,강원도 원주시 영랑길 2  302호 (행구동),26456,연세이안치과의원,2.02004E+13,I,23:21.0,치과의원,127.9705708,37.3386078,,,,,,,,,,,,,,,,
2393,강원도,춘천시,의원,01_01_02_P,4180000,PHMA120204180029041100008,20200427,,1,영업/정상,13,영업중,,,,,033-911-3355,,,강원도 춘천시 중앙로2가 83번지,강원도 춘천시 중앙로 68  2층 (중앙로2가),24273,그랜드우리안과의원,2.02005E+13,U,40:00.0,의원,127.7255357,37.87674552,,,,,,,,,,,,,,,,
2394,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100012,20200425,,1,영업/정상,13,영업중,,,,,033-745-0188,,,강원도 원주시 단계동 843번지 3호,강원도 원주시 북원로 2247  덕안빌딩  3층 (단계동),26436,김진수프롤로의원,2.02004E+13,U,40:00.0,의원,127.9326317,37.343617,,,,,,,,,,,,,,,,
2395,강원도,춘천시,의원,01_01_02_P,4180000,PHMA120204180029041100007,20200424,,1,영업/정상,13,영업중,,,,,033-257-9222,,,강원도 춘천시 중앙로2가 83번지,강원도 춘천시 중앙로 68  3층 (중앙로2가),24273,그랜드연합내과의원,2.02012E+13,U,40:00.0,의원,127.7255357,37.87674552,,,,,,,,,,,,,,,,
2396,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100013,20200420,,1,영업/정상,13,영업중,,,,,033-900-6262,,,강원도 원주시 지정면 가곡리 1497번지 1호,강원도 원주시 지정면 신지정로 322-1  305 306호,26353,유앤미치과의원,2.02004E+13,U,40:00.0,치과의원,127.8723215,37.37968901,,,,,,,,,,,,,,,,
2397,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100014,20200417,,1,영업/정상,13,영업중,,,,,033-900-1148,,,강원도 원주시 지정면 가곡리 1495번지 1호,강원도 원주시 지정면 신지정로 322  301 302호,26353,경희다인한의원,2.02104E+13,U,40:00.0,한의원,127.871938,37.37988826,,,,,,,,,,,,,,,,
2398,강원도,철원군,의원,01_01_02_P,4300000,PHMA120204300012041100002,20200413,,1,영업/정상,13,영업중,,,,,033-458-2112,,,강원도 철원군 서면 와수리 1150번지 5호,강원도 철원군 서면 와수로 164-1,24058,성모치과의원,2.02102E+13,U,40:00.0,치과의원,127.4375324,38.23544286,,,,,,,,,,,,,,,,
2399,강원도,강릉시,의원,01_01_02_P,4200000,PHMA120204200028041100002,20200501,,1,영업/정상,13,영업중,,,,,033-651-8275,,,강원도 강릉시 포남동 1289번지 3호,강원도 강릉시 하평길 21  2층 (포남동),25566,우리가정의원,2.02007E+13,U,40:00.0,의원,128.9103488,37.76767318,,,,,,,,,,,,,,,,
2400,강원도,춘천시,의원,01_01_02_P,4180000,PHMA120204180029041100009,20200506,,1,영업/정상,13,영업중,,,,,033-249-8575,,,강원도 춘천시 퇴계동 산 36번지 5호,강원도 춘천시 안마산로 107  2.3.4층 (퇴계동),24455,마디온정형외과의원,2.02108E+13,U,40:00.0,의원,127.7267414,37.85201055,,,,,,,,,,,,,,,,
2401,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100015,20200509,,1,영업/정상,13,영업중,,,,,033-761-8900,,,강원도 원주시 단구동 1512번지 1호,강원도 원주시 서원대로 406  303 304호 (단구동),26484,제로마취통증의학과의원,2.02005E+13,U,40:00.0,의원,127.9489603,37.32738598,,,,,,,,,,,,,,,,
2402,강원도,속초시,의원,01_01_02_P,4230000,PHMA120204230018041100004,20200518,,1,영업/정상,13,영업중,,,,,033-800-7172,,,강원도 속초시 교동 658번지 47호,강원도 속초시 중앙로 37  1층 (교동),24835,경희유치과의원,2.02005E+13,U,40:00.0,치과의원,128.5801042,38.19715216,,,,,,,,,,,,,,,,
2404,강원도,강릉시,의원,01_01_02_P,4200000,PHMA120204200028041100003,20200603,,1,영업/정상,13,영업중,,,,,033-662-2275,,,강원도 강릉시 주문진읍 교항리 181번지 3호,강원도 강릉시 주문진읍 작은다리길 16  2층,25418,수플란트치과의원,2.0201E+13,U,40:00.0,치과의원,128.8255517,37.8876133,,,,,,,,,,,,,,,,
2406,강원도,정선군,의원,01_01_02_P,4290000,PHMA120204290013041100001,20200612,,1,영업/정상,13,영업중,,,,,033-562-1440,,,강원도 정선군 정선읍 봉양리 335번지 3호,강원도 정선군 정선읍 봉양5길 22,26130,정선한의원,2.02101E+13,U,40:00.0,한의원,128.6623522,37.37629081,,,,,,,,,,,,,,,,
2407,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100017,20200619,,1,영업/정상,13,영업중,,,,,033-813-9600,,,,강원도 원주시 영랑길 2  401호 (행구동),26456,사상참경희한의원,2.02104E+13,U,40:00.0,한의원,127.9705708,37.3386078,,,,,,,,,,,,,,,,
2408,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100018,20200713,,1,영업/정상,13,영업중,,,,,033-735-2080,,,강원도 원주시 무실동 1718-5 세이브타워 402호,강원도 원주시 로아노크로 74  세이브타워 402호 (무실동),26387,이편한치과의원,2.0201E+13,U,40:00.0,치과의원,127.9227546,37.33610957,,,,,,,,,,,,,,,,
2409,강원도,강릉시,의원,01_01_02_P,4200000,PHMA120204200028041100004,20200716,,1,영업/정상,13,영업중,,,,,033-641-9222,,,강원도 강릉시 교동 1881-6,강원도 강릉시 솔올로 35  2층 (교동),25512,위드내과의원,2.02009E+13,U,40:00.0,의원,128.8772491,37.76237244,,,,,,,,,,,,,,,,
2410,강원도,강릉시,의원,01_01_02_P,4200000,PHMA120204200028041100005,20200824,,1,영업/정상,13,영업중,,,,,033-641-7575,,,강원도 강릉시 성남동 113-20,강원도 강릉시 금성로61번길 7  2층 (성남동),25544,뉴욕플란트치과의원,2.02104E+13,U,40:00.0,치과의원,128.8949056,37.74871844,,,,,,,,,,,,,,,,
2411,강원도,원주시,의원,01_01_02_P,4190000,PHMA120204190023041100020,20200822,,1,영업/정상,13,영업중,,,,,033-812-2828,,,강원도 원주시 단계동 881-3,강원도 원주시 서원대로 164  3층 (단계동),26382,원더스의원,2.02008E+13,U,40:00.0,의원,127.9290288,37.34118249,,,,,,,,,,,,,,,,
2412,강원도,춘천시,의원,01_01_02_P,4180000,PHMA120204180029041100011,20200826,,3,폐업,3,폐업,20211014,,,,033-259-8108,,,강원도 춘천시 낙원동 27-1 인성병원,강원도 춘천시 금강로 39  1층 (낙원동),24272,한국종합의원,2.0211E+13,U,40:00.0,의원,127.7262194,37.87853801,,,,,,,,,,,,,,,,
2413,강원도,횡성군,의원,01_01_02_P,4260000,PHMA120204260015041100003,20200820,,1,영업/정상,13,영업중,,,,,033-343-2022,,,강원도 횡성군 둔내면 둔방내리 80-3,강원도 횡성군 둔내면 둔내로 40  2층,25265,둔내가정의학과의원,2.02008E+13,U,40:00.0,의원,128.2144238,37.50965495,,,,,,,,,,,,,,,,
