상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시군구명,행정동명,법정동명,도로명주소,경도,위도,브랜드명
파리바게뜨,음식,제과제빵떡케익,제과점,철원군,동송읍,동송읍,강원도 철원군 동송읍 이평로53번길 14-1,127.2181447,38.20890375,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,원주시,무실동,무실동,강원도 원주시 시청로 84,127.92801850000001,37.33640683,파리바게뜨
파리바게뜨김화점,음식,제과제빵떡케익,제과점,철원군,서면,서면,강원도 철원군 서면 와수로173번길 17,127.43754070000001,38.23878358,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,속초시,대포동,대포동,강원도 속초시 대포항길 10,128.605393,38.17390752,파리바게뜨
16690파리바게트춘천봄내,음식,제과제빵떡케익,제과점,춘천시,석사동,석사동,강원도 춘천시 퇴계로 223,127.74337040000002,37.85631207,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,철원군,서면,서면,강원도 철원군 서면 와수로 169,127.4380777,38.23876813,파리바게뜨
파리바게뜨속초동부점,음식,제과제빵떡케익,제과점,속초시,교동,교동,강원도 속초시 미시령로3359번길 4,128.57476599999998,38.20664054,파리바게뜨
배스킨라빈스31원주중앙점,음식,패스트푸드,아이스크림판매,원주시,일산동,일산동,강원도 원주시 원일로 97,127.9492717,37.34914156,배스킨라빈스
배스킨라빈스31춘천중앙점,음식,패스트푸드,아이스크림판매,춘천시,약사명동,중앙로2가,강원도 춘천시 중앙로67번길 3,127.72679679999999,37.87911589,배스킨라빈스
배스킨라빈스31홍천중앙점,음식,패스트푸드,아이스크림판매,홍천군,홍천읍,홍천읍,강원도 홍천군 홍천읍 홍천로6길 26,127.88450970000001,37.69111199,배스킨라빈스
파리바게뜨우산점,음식,제과제빵떡케익,제과점,원주시,우산동,우산동,강원도 원주시 우산로 69,127.93664650000001,37.36971683,파리바게뜨
배스킨라빈스31한화워터피아점,음식,패스트푸드,아이스크림판매,속초시,영랑동,장사동,강원도 속초시 미시령로2983번길 88,128.5278673,38.20773471,배스킨라빈스
배스킨라빈스,음식,패스트푸드,아이스크림판매,평창군,대관령면,대관령면,강원도 평창군 대관령면 솔봉로 325,128.6915145,37.66466877,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,동해시,발한동,발한동,강원도 동해시 발한로 224,129.1087082,37.54959536,파리바게뜨
파리바게뜨원주구곡점,음식,제과제빵떡케익,제과점,원주시,단구동,단구동,강원도 원주시 서원대로 416-21,127.9487443,37.32795616,파리바게뜨
배스킨라빈스31,음식,패스트푸드,아이스크림판매,화천군,화천읍,화천읍,강원도 화천군 화천읍 중앙로 11,127.70551370000001,38.10481267,배스킨라빈스
배스킨라빈스31,음식,패스트푸드,아이스크림판매,속초시,금호동,중앙동,강원도 속초시 중앙로 136,128.59083529999998,38.202866799999995,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,원주시,반곡관설동,반곡동,강원도 원주시 양지로 50,127.9841206,37.32616396,파리바게뜨
배스킨라빈스31강릉포남점,음식,패스트푸드,아이스크림판매,강릉시,포남1동,포남동,강원도 강릉시 하평길 38,128.91266670000002,37.7702159,배스킨라빈스
배스킨라빈스31,음식,패스트푸드,아이스크림판매,홍천군,서면,서면,강원도 홍천군 서면 한치골길 262,127.68727290000001,37.65232374,배스킨라빈스
배스킨라빈스31,음식,패스트푸드,아이스크림판매,평창군,대관령면,대관령면,강원도 평창군 대관령면 솔봉로 325,128.6915258,37.66465969,배스킨라빈스
배스킨라빈스31원주홈플러스점,음식,패스트푸드,아이스크림판매,원주시,반곡관설동,관설동,강원도 원주시 치악로 1489,127.9672999,37.31771705,배스킨라빈스
배스킨라빈스31원주혁신점,음식,패스트푸드,아이스크림판매,원주시,반곡관설동,반곡동,강원도 원주시 혁신로 37-3,127.97937069999999,37.32364912,배스킨라빈스
배스킨라빈스31원주터미널점,음식,패스트푸드,아이스크림판매,원주시,단계동,단계동,강원도 원주시 서원대로 171,127.9307983,37.34481587,배스킨라빈스
배스킨라빈스31강원인제점,음식,패스트푸드,아이스크림판매,인제군,인제읍,인제읍,강원도 인제군 인제읍 비봉로 12,128.1724092,38.0681143,배스킨라빈스
설악워터피아베스킨라빈스,음식,패스트푸드,아이스크림판매,속초시,영랑동,장사동,강원도 속초시 미시령로2983번길 88,128.5278673,38.20773471,배스킨라빈스
베스킨라빈스,음식,커피점/카페,커피전문점/카페/다방,양구군,양구읍,양구읍,강원도 양구군 양구읍 중앙길 9,127.98938079999999,38.10707328,배스킨라빈스
배스킨라빈스31,음식,패스트푸드,아이스크림판매,강릉시,옥천동,옥천동,강원도 강릉시 경강로 2120,128.89863190000003,37.75570020000001,배스킨라빈스
배스킨라빈스31영주구곡점,음식,패스트푸드,아이스크림판매,원주시,단구동,단구동,강원도 원주시 서원대로 392,127.9484488,37.33103784,배스킨라빈스
파리바게뜨신철원터미널점,음식,제과제빵떡케익,제과점,철원군,갈말읍,갈말읍,강원도 철원군 갈말읍 삼부연로 5,127.3084973,38.14518659,파리바게뜨
배스킨라빈스31강원양구점,음식,패스트푸드,아이스크림판매,양구군,양구읍,양구읍,강원도 양구군 양구읍 중앙길 9,127.98938079999999,38.10707328,배스킨라빈스
배스킨라빈스31영월점,음식,패스트푸드,아이스크림판매,영월군,영월읍,영월읍,강원도 영월군 영월읍 중앙1로 23,128.4652634,37.18299077,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,강릉시,교1동,교동,강원도 강릉시 솔올로 17,128.8774462,37.76354555,파리바게뜨
배스킨라빈스31,음식,패스트푸드,아이스크림판매,영월군,영월읍,영월읍,강원도 영월군 영월읍 중앙로 17,128.4655943,37.18370136,배스킨라빈스
베스킨라빈스,음식,패스트푸드,아이스크림판매,춘천시,강남동,온의동,강원도 춘천시 경춘로 2341,127.7172604,37.86395609,배스킨라빈스
배스킨라빈스31,음식,패스트푸드,아이스크림판매,원주시,단구동,단구동,강원도 원주시 단구로 369,127.95736809999998,37.32321971,배스킨라빈스
배스킨라빈스31,음식,패스트푸드,아이스크림판매,강릉시,교1동,교동,강원도 강릉시 교동광장로 135,128.87960320000002,37.76455663,배스킨라빈스
배스킨라빈스31문막휴게소강릉방면,음식,패스트푸드,아이스크림판매,원주시,문막읍,문막읍,강원도 원주시 문막읍 원문로 1234,127.8582091,37.33526243,배스킨라빈스
배스킨라빈스,음식,패스트푸드,아이스크림판매,춘천시,강남동,온의동,강원도 춘천시 방송길 70,127.71661170000002,37.87013559,배스킨라빈스
배스킨라빈스31,음식,패스트푸드,아이스크림판매,평창군,대관령면,대관령면,강원도 평창군 대관령면 솔봉로 325,128.6839953,37.65926127,배스킨라빈스
배스킨라빈스31춘천이마트점,음식,패스트푸드,아이스크림판매,춘천시,강남동,온의동,강원도 춘천시 경춘로 2341,127.7172604,37.86395609,배스킨라빈스
배스킨라빈스,음식,패스트푸드,아이스크림판매,원주시,문막읍,문막읍,강원도 원주시 문막읍 원문로 1595,127.8328388,37.32045103,배스킨라빈스
배스킨라빈스31,음식,패스트푸드,아이스크림판매,강릉시,성덕동,입암동,강원도 강릉시 성덕포남로 53,128.9189493,37.7596702,배스킨라빈스
배스킨라빈스31원주태장점,음식,패스트푸드,아이스크림판매,원주시,태장2동,태장동,강원도 원주시 북원로 2706,127.9479037,37.38508621,배스킨라빈스
베스킨라빈스,음식,패스트푸드,아이스크림판매,원주시,반곡관설동,반곡동,강원도 원주시 혁신로 37-3,127.97937069999999,37.32364912,배스킨라빈스
배스킨라빈스31문막휴게소인천방면,음식,패스트푸드,아이스크림판매,원주시,문막읍,문막읍,강원도 원주시 문막읍 개나루길 13,127.81700729999999,37.2977465,배스킨라빈스
배스킨라빈스,음식,패스트푸드,아이스크림판매,강릉시,성덕동,입암동,강원도 강릉시 성덕포남로 53,128.9189493,37.7596702,배스킨라빈스
배스킨라빈스31,음식,패스트푸드,아이스크림판매,속초시,조양동,조양동,강원도 속초시 동해대로 4024,128.59446609999998,38.19021687,배스킨라빈스
배스킨라빈스31,음식,패스트푸드,아이스크림판매,동해시,천곡동,천곡동,강원도 동해시 대학로 31,129.112165,37.52327954,배스킨라빈스
태경산업문막제1영업소배스킨라빈스31,음식,패스트푸드,아이스크림판매,원주시,문막읍,문막읍,강원도 원주시 문막읍 개나루길 13,127.81700729999999,37.2977465,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,철원군,동송읍,동송읍,강원도 철원군 동송읍 금학로 220-1,127.2183223,38.20831931,파리바게뜨
배스킨라빈스31,음식,패스트푸드,아이스크림판매,춘천시,퇴계동,퇴계동,강원도 춘천시 행촌로 28,127.7242226,37.85913406,배스킨라빈스
베스킨라빈스,음식,패스트푸드,아이스크림판매,춘천시,후평2동,후평동,강원도 춘천시 후석로 297,127.75123070000001,37.87771939,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,강릉시,성덕동,입암동,강원도 강릉시 월대산로 71,128.918183,37.76010866,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,화천군,화천읍,화천읍,강원도 화천군 화천읍 중앙로 13-1,127.70584509999999,38.10464231,파리바게뜨
배스킨라빈스31,음식,패스트푸드,아이스크림판매,춘천시,석사동,석사동,강원도 춘천시 지석로 75,127.7436945,37.85133007,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,춘천시,동면,동면,강원도 춘천시 동면 춘천로449번길 30,127.75368600000002,37.89480803,파리바게뜨
배스킨라빈스31휘닉스파크점,음식,패스트푸드,아이스크림판매,평창군,봉평면,봉평면,강원도 평창군 봉평면 태기로 174,128.3095959,37.57374985,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,삼척시,도계읍,도계읍,강원도 삼척시 도계읍 도계우회로2길 8,129.04627109999998,37.23749548,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,속초시,조양동,조양동,강원도 속초시 조양상가길 18,128.5794074,38.19005789,파리바게뜨
배스킨라빈스,음식,커피점/카페,커피전문점/카페/다방,춘천시,약사명동,중앙로2가,강원도 춘천시 중앙로67번길 3,127.72679679999999,37.87911589,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,속초시,교동,교동,강원도 속초시 미시령로 3395,128.5774936,38.20791554,파리바게뜨
배스킨라빈스31,음식,패스트푸드,아이스크림판매,춘천시,후평3동,후평동,강원도 춘천시 후석로 296,127.75170790000001,37.87780149,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,원주시,무실동,무실동,강원도 원주시 무실로 382,127.92650090000001,37.33033239,파리바게뜨
배스킨라빈스31,음식,패스트푸드,아이스크림판매,인제군,인제읍,인제읍,강원도 인제군 인제읍 비봉로 12-1,128.1724889,38.06806913,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,원주시,단계동,단계동,강원도 원주시 모란1길 47,127.9348024,37.36095705,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,춘천시,동내면,동내면,강원도 춘천시 동내면 춘천순환로 58,127.7503294,37.85510162,파리바게뜨
배스킨라빈스31철원동송점,음식,패스트푸드,아이스크림판매,철원군,동송읍,동송읍,강원도 철원군 동송읍 금학로 218,127.218428,38.20804072,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,강릉시,홍제동,홍제동,강원도 강릉시 선수촌로63번길 26-14,128.8673498,37.75715996,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,영월군,영월읍,영월읍,강원도 영월군 영월읍 중앙1로 29,128.4655725,37.18381859,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,원주시,소초면,소초면,강원도 원주시 소초면 북원로 3223,127.9671725,37.42903092,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,화천군,화천읍,화천읍,강원도 화천군 화천읍 중앙로5길 10,127.7065061,38.10472505,파리바게뜨
배스킨라빈스,음식,패스트푸드,아이스크림판매,강릉시,포남1동,포남동,강원도 강릉시 하평길 38,128.91266670000002,37.7702159,배스킨라빈스
베스킨라빈스,음식,패스트푸드,아이스크림판매,횡성군,횡성읍,횡성읍,강원도 횡성군 횡성읍 문정로 21,127.9860084,37.48987658,배스킨라빈스
배스킨라빈스,음식,패스트푸드,아이스크림판매,평창군,대관령면,대관령면,강원도 평창군 대관령면 대관령마루길 7,128.7107524,37.66853704,배스킨라빈스
배스킨라빈스,음식,패스트푸드,아이스크림판매,춘천시,동면,동면,강원도 춘천시 동면 춘천로 457,127.7555341,37.89294676,배스킨라빈스
배스킨라빈스원주중앙원주중앙,음식,패스트푸드,아이스크림판매,원주시,일산동,일산동,강원도 원주시 무실로 3,127.949272,37.34879914,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,강릉시,송정동,송정동,강원도 강릉시 경강로2477번길 4,128.9309493,37.77538888,파리바게뜨
파리바게뜨횡성점,음식,제과제빵떡케익,제과점,횡성군,횡성읍,횡성읍,강원도 횡성군 횡성읍 삼일로 1-1,127.9863929,37.48974147,파리바게뜨
베스킨라빈스,음식,패스트푸드,아이스크림판매,속초시,금호동,중앙동,강원도 속초시 중앙로 136,128.59083529999998,38.202866799999995,배스킨라빈스
파리바게뜨춘천포스코,음식,제과제빵떡케익,제과점,춘천시,후평2동,후평동,강원도 춘천시 춘천로296번길 3,127.7461494,37.88104235,파리바게뜨
