날짜,시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
2019-01-01,강원,춘천시,2,0,1,8,0
2019-01-02,강원,춘천시,2,0,0,2,0
2019-01-03,강원,춘천시,1,0,0,1,0
2019-01-04,강원,춘천시,3,0,1,2,0
2019-01-05,강원,춘천시,4,0,0,9,0
2019-01-06,강원,춘천시,5,0,2,3,0
2019-01-07,강원,춘천시,7,0,2,15,0
2019-01-08,강원,춘천시,6,0,1,6,0
2019-01-09,강원,춘천시,3,0,0,5,0
2019-01-10,강원,춘천시,7,0,5,6,0
2019-01-11,강원,춘천시,2,0,1,1,0
2019-01-12,강원,춘천시,4,0,0,6,0
2019-01-13,강원,춘천시,4,0,3,8,0
2019-01-14,강원,춘천시,4,0,0,7,0
2019-01-15,강원,춘천시,5,0,1,6,0
2019-01-16,강원,춘천시,6,0,0,10,0
2019-01-17,강원,춘천시,2,0,0,4,0
2019-01-18,강원,춘천시,4,0,1,8,0
2019-01-19,강원,춘천시,5,0,1,4,0
2019-01-20,강원,춘천시,4,0,1,7,0
2019-01-21,강원,춘천시,4,0,2,4,0
2019-01-22,강원,춘천시,3,1,3,0,0
2019-01-23,강원,춘천시,3,0,0,3,0
2019-01-24,강원,춘천시,1,0,0,1,0
2019-01-25,강원,춘천시,4,0,2,2,0
2019-01-26,강원,춘천시,4,0,0,7,0
2019-01-27,강원,춘천시,1,0,1,0,0
2019-01-28,강원,춘천시,4,0,1,4,0
2019-01-29,강원,춘천시,6,0,3,10,0
2019-01-31,강원,춘천시,5,0,0,8,0
2019-02-01,강원,춘천시,2,0,0,1,1
2019-02-02,강원,춘천시,4,0,1,5,0
2019-02-03,강원,춘천시,4,0,0,7,0
2019-02-04,강원,춘천시,3,0,1,7,0
2019-02-05,강원,춘천시,4,0,0,9,0
2019-02-06,강원,춘천시,2,0,1,1,0
2019-02-07,강원,춘천시,1,0,0,1,0
2019-02-08,강원,춘천시,1,0,0,1,0
2019-02-09,강원,춘천시,3,0,2,1,0
2019-02-10,강원,춘천시,2,0,0,2,0
2019-02-11,강원,춘천시,6,0,0,10,0
2019-02-12,강원,춘천시,3,0,1,4,0
2019-02-13,강원,춘천시,5,0,0,6,0
2019-02-14,강원,춘천시,2,0,0,10,0
2019-02-15,강원,춘천시,8,0,1,7,0
2019-02-16,강원,춘천시,2,0,1,3,0
2019-02-18,강원,춘천시,6,0,0,8,0
2019-02-19,강원,춘천시,4,0,0,5,0
2019-02-20,강원,춘천시,2,0,0,2,0
2019-02-21,강원,춘천시,3,1,3,1,0
2019-02-22,강원,춘천시,4,0,2,5,1
2019-02-23,강원,춘천시,6,2,2,12,1
2019-02-24,강원,춘천시,4,0,1,4,1
2019-02-25,강원,춘천시,7,0,0,8,0
2019-02-26,강원,춘천시,2,0,1,3,0
2019-02-27,강원,춘천시,4,0,0,5,0
2019-02-28,강원,춘천시,4,0,2,3,0
2019-03-01,강원,춘천시,2,0,2,6,0
2019-03-02,강원,춘천시,3,0,0,3,0
2019-03-03,강원,춘천시,2,0,1,2,0
2019-03-04,강원,춘천시,3,1,1,3,0
2019-03-05,강원,춘천시,4,0,0,5,0
2019-03-06,강원,춘천시,5,0,1,5,0
2019-03-07,강원,춘천시,3,0,1,5,0
2019-03-08,강원,춘천시,5,0,1,6,0
2019-03-09,강원,춘천시,6,0,0,10,0
2019-03-10,강원,춘천시,2,0,3,7,0
2019-03-11,강원,춘천시,2,0,0,2,0
2019-03-12,강원,춘천시,7,0,1,7,1
2019-03-13,강원,춘천시,5,0,1,4,0
2019-03-14,강원,춘천시,2,0,0,1,1
2019-03-15,강원,춘천시,6,0,1,5,0
2019-03-16,강원,춘천시,7,0,2,6,0
2019-03-17,강원,춘천시,3,0,0,2,2
2019-03-18,강원,춘천시,6,0,2,11,0
2019-03-19,강원,춘천시,1,0,0,2,0
2019-03-20,강원,춘천시,5,0,0,7,0
2019-03-21,강원,춘천시,5,0,1,7,0
2019-03-22,강원,춘천시,7,0,0,9,3
2019-03-23,강원,춘천시,4,0,3,5,1
2019-03-24,강원,춘천시,1,0,0,1,0
2019-03-25,강원,춘천시,2,0,1,1,0
2019-03-26,강원,춘천시,3,0,1,4,0
